sampleID	metadata_field_1	dataset_name	source
SRS013258	some_data1	hmp	source1
SRS013261	some_data1	hmp	source1
SRS013876	some_data1	hmp	source2
SRS014682	some_data2	hmp	source1
SRS015937	some_data3	hmp	source1
SRS015996	some_data3	hmp	source2
SRS016752	some_data3	hmp	source1
SRS017849	some_data2	hmp	source1
SRS017851	some_data2	hmp	source1
SRS018978	some_data2	hmp	source1
SRS018981	some_data1	hmp	source2
SRS019016	some_data1	hmp	source2
SRS020261	some_data1	hmp	source1
SRS022006	some_data2	hmp	source1
SRS023847	some_data2	hmp	source3
SRS024482	some_data2	hmp	source4
SRS024596	some_data2	hmp	source1
SRS024598	some_data2	hmp	source3
SRS024655	some_data2	hmp	source1
SRS044474	some_data2	hmp	source1
SRS045606	some_data1	hmp	source2
SRS046688	some_data1	hmp	source1
SRS047225	some_data1	hmp	source2
SRS050025	some_data1	hmp	source1
SRS057083	some_data1	hmp	source4
SRS058182	some_data1	hmp	source1
SRS058221	some_data1	hmp	source1
